Name,Suburb,Postcode,School Level
Hallett Cove South Primary School,Hallett Cove,5158,Primary Schools
Woodend Primary School,Sheidow Park,5158,Primary Schools
Pimpala Primary School,Morphett Vale,5162,Primary Schools
O'Sullivan Beach Primary School,O'Sullivan Beach,5166,Primary Schools
Swallowcliffe School P-7,Davoren Park,5113,Primary Schools
Highgate School,Highgate,5063,Primary Schools
Hackham East Primary School,Hackham,5163,Primary Schools
Huntfield Heights Primary School,Huntfield Heights,5163,Primary Schools
Noarlunga Downs Primary School,Noarlunga Downs,5168,Primary Schools
Moana Primary School,Seaford,5169,Primary Schools
Redwood Park Primary School,Redwood Park,5097,Primary Schools
St Agnes Primary School,St Agnes,5097,Primary Schools
Lonsdale Heights Primary School,Christie Downs,5164,Primary Schools
Paralowie School,Paralowie,5108,Primary/Secondary Schools
Surrey Downs R-7 School,Surrey Downs,5126,Primary Schools
Fairview Park Primary School,Fairview Park,5126,Primary Schools
Banksia Park International High School,Banksia Park,5091,High/Secondary Schools
Miltaburra Area School,Wirrulla,5661,Area Schools
Karcultaby Area School,Karcultaby,5654,Area Schools
Hackham West R-7 School,Hackham West,5163,Primary Schools
Long Street Primary School,Whyalla Norrie,5608,Primary Schools
East Para Primary School,Para Hills,5096,Primary Schools
Karrendi Primary School,Parafield Gardens,5107,Primary Schools
Bellevue Heights Primary School,Bellevue Heights,5050,Primary Schools
Parafield Gardens High School,Parafield Gardens,5107,High/Secondary Schools
Salisbury Park Primary School,Salisbury Park,5109,Primary Schools
Flaxmill School P-7,Morphett Vale,5162,Primary Schools
Thorndon Park Primary School,Athelstone,5076,Primary Schools
Lincoln Gardens Primary School,Port Lincoln,5606,Primary Schools
Ingle Farm Primary School,Ingle Farm,5098,Primary Schools
Braeview School R-7,Happy Valley,5159,Primary Schools
Fulham North Primary School,Henley Beach,5022,Primary Schools
Mannum Community College,Mannum,5238,Area Schools
Indulkana Anangu School,Indulkana,872,Anangu Schools
Salisbury Heights Primary School,Salisbury Heights,5109,Primary Schools
North Ingle School,Ingle Farm,5098,Primary Schools
Valley View Secondary School,Para Vista,5093,High/Secondary Schools
Morphett Vale East School R-7,Morphett Vale,5162,Primary Schools
Salisbury Downs Primary School,Salisbury Downs,5108,Primary Schools
Stuart High School,Whyalla Stuart,5608,High/Secondary Schools
Fregon Anangu School,Fregon,872,Anangu Schools
Gulfview Heights Primary School,Gulfview Heights,5096,Primary Schools
Westport Primary School,Semaphore Park,5019,Primary Schools
Woodville Gardens School B-7 Children's Centre,Woodville Gardens,5012,Children's Centres
Blair Athol North School B-7 Children's Centre,Blair Athol,5084,Children's Centres
Seaford K-7 A Birth to Year 7 Campus,Port Noarlunga South,5167,Primary Schools
Middle Campus - Norwood Morialta,Rostrevor,5073,High/Secondary Schools
Modbury West School,Modbury,5092,Primary Schools
Magill School,Magill,5072,Primary Schools
Glencoe Central Primary School,Glencoe,5291,Primary Schools
Craigburn Primary School,Flagstaff Hill,5159,Primary Schools
Felixstow Community School,Felixstow,5070,Primary Schools
West Lakes Shore School R-7,West Lakes Shore,5020,Primary Schools
Disability Unit Mount Barker High School,Mount Barker,5251,Disability Units
Port Lincoln Junior Primary School,Port Lincoln,5606,Junior Primary Schools
Torrensville Primary School,Torrensville,5031,Primary Schools
Brighton Centre for Hearing Impaired,Brighton,5048,Hearing Impaired Units
Klemzig Centre for Hearing Impaired,Klemzig,5087,Hearing Impaired Units
Warriappendi School,Marleston,5033,Alternative Sec Schools
Kilparrin Teaching & Assessment School & Services,Park Holme,5043,Primary/Secondary Special Schools
North Haven School,North Haven,5018,Primary Schools
Fraser Park Primary School,Murray Bridge,5253,Primary Schools
Prospect Centre,Prospect,5082,Statewide Transition Centres
Open Access College Marden Campus,Marden,5070,Open Access College
Flinders View Primary School,Port Augusta West,5700,Primary Schools
Port Augusta Special School,Port Augusta West,5700,Primary/Secondary Special Schools
Lake Windemere B-7 School Children's Centre,Salisbury North,5108,Children's Centres
Modbury Special School,Hope Valley,5090,Primary/Secondary Special Schools
Adelaide West Special Education Centre,Taperoo,5017,Primary/Secondary Special Schools
